,link,program,regdate,title,view_day,view_total,view_week,crawling_day,crawling_time
15,http://www.tving.com/pick/player/top/PKC-1325648,동상이몽2_너는 내 운명,2020.03.30,"진태현, 박시은 전 남편(?) 강하늘에 질투심 활활♨",488,517,507,2020.04.01,9
16,http://www.tving.com/pick/player/top/PKC-1326269,수미네 반찬,2020.03.31,수미표 기름떡볶이의 포인트? 들.기.름★,479,532,418,2020.04.01,9
17,http://www.tving.com/pick/player/top/PKC-1325678,동상이몽2_너는 내 운명,2020.03.31,"박지선, 노잼 상황 살리는 개그 여신!",478,501,489,2020.04.01,9
18,http://www.tving.com/pick/player/top/PKC-1325624,동상이몽2_너는 내 운명,2020.03.30,"‘걸크러시 스페셜 MC’ 김혜은, 박서준 때문에 엄마 찬스 쓰게 된 사연?",470,501,485,2020.04.01,9
19,http://www.tving.com/pick/player/top/PKC-1325405,겟잇뷰티 2020,2020.03.30,[겟잇뷰티2020]코덕들의 필수템 뷰라벨 쿠션팩트!A부터 Z까지 찐꿀팁 대방출,469,3611,3677,2020.04.01,9
20,http://www.tving.com/pick/player/top/PKC-1325682,동상이몽2_너는 내 운명,2020.03.31,"‘정성 가득’ 정한울, 산모 이윤지를 위한 사랑의 선물♥",451,478,467,2020.04.01,9
21,http://www.tving.com/pick/player/top/PKC-1325066,대탈출 3,2020.03.29,단서 소리꾼 갓병재 대활약!! 천해명 귀사모가 여기서 또?!!,403,614,488,2020.04.01,9
22,http://www.tving.com/pick/player/top/PKC-1325071,대탈출 3,2020.03.30,첫 번째 방으로 되돌아온 탈출러들?! 단서는 대체 어디?,401,674,545,2020.04.01,9
23,http://www.tving.com/pick/player/top/PKC-1326204,수미네 반찬,2020.03.31,밥귀신 수미표 조갯살고추다짐의 시작은? 아.묻.따 고추 다지기!,374,476,381,2020.04.01,9
24,http://www.tving.com/pick/player/top/PKC-1325964,요즘책방 : 책 읽어드립니다,2020.03.31,타인은 모두 관종?! 상대와 세상을 바꿀 인간관계의 바이블! [인간관계론],360,512,438,2020.04.01,9
25,http://www.tving.com/pick/player/top/PKC-1325045,대탈출 3,2020.03.29,어둠 속에서 호동을 지켜보는 무엇?!! ㅠㅠㅠ,347,931,776,2020.04.01,9
26,http://www.tving.com/pick/player/top/PKC-1325076,대탈출 3,2020.03.30,어둠 속 맨 뒷줄 당첨ㅠ 여기가 호들지옥이구나..,324,852,675,2020.04.01,9
27,http://www.tving.com/pick/player/top/PKC-1326182,수미네 반찬,2020.03.31,수미네 갑.분 퀴즈! 닭을 OO에 재우는 이유는?,317,355,287,2020.04.01,9
28,http://www.tving.com/pick/player/top/PKC-1325770,프리한19,2020.03.31,인간에게 보내는 지구의 마지막 경고 19,311,1441,1082,2020.04.01,9
29,http://www.tving.com/pick/player/top/PKC-1325063,대탈출 3,2020.03.29,오싹.. 어둠 속에서 탈출러들을 따라다니는 누군가 있다?!!,304,762,591,2020.04.01,9
30,http://www.tving.com/pick/player/top/PKC-1325817,퀴즈와 음악사이,2020.03.31,[1회/맛보기퀴즈] 김나영이 생일을 맞은 신화 멤버에게 이런 말을? | 오늘 저녁 8시 첫방송,300,478,363,2020.04.01,9
31,http://www.tving.com/pick/player/top/PKC-1325533,반의반,2020.03.30,[4화 예고] ＂좋다..짝사랑은 이 맛이지＂ 본격 정해인 짝사랑 시작한 채수빈♥,289,1523,1228,2020.04.01,9
32,http://www.tving.com/pick/player/top/PKC-1323855,금요일 금요일 밤에,2020.03.27,[#금요일금요일밤에 #OFFAIR] LP 삼킨 줄? 청음 하다가 콘서트 된 이승기 되돌리다 라이브♪,281,5379,5512,2020.04.01,9
33,http://www.tving.com/pick/player/top/PKC-1325181,eNEWS24,2020.03.30,원위(ONEWE)X화사(Hwa Sa) '모르겠다고'  마마무 동생밴드 '고음 끝판왕 예고',269,796,662,2020.04.01,9
34,http://www.tving.com/pick/player/top/PKC-1326183,수미네 반찬,2020.03.31,어리바리 종민이는 수미네 적응 중? 웃겨야 산다!,265,294,240,2020.04.01,9
35,http://www.tving.com/pick/player/top/PKC-1325532,반의반,2020.03.30,[4화 예고] 서로의 곁에서..가까워지는 정해인X채수빈X이하나X김성규,249,1698,1388,2020.04.01,9
36,http://www.tving.com/pick/player/top/PKC-1326009,퀴즈와 음악사이,2020.03.31,[1회/퀴즈] 신지가 스타VJ쇼에서 소개한 다이어트 비법은 아닌 것은?,231,285,234,2020.04.01,9
37,http://www.tving.com/pick/player/top/PKC-1326216,수미네 반찬,2020.03.31,소생 불가 세리&상화의 조갯살고추다짐? 이게 다 종민이 탓이야!,230,286,227,2020.04.01,9
38,http://www.tving.com/pick/player/top/PKC-1325215,eNEWS24,2020.03.30,"'퀸덤' 보이그룹 버전 '로드 투 킹덤', 컴백 전쟁 참전 보이 그룹 7팀은 누구?",219,703,615,2020.04.01,9
39,http://www.tving.com/pick/player/top/PKC-1326238,수미네 반찬,2020.03.31,세계로 뻗어나가는 수미쌤의 계란만두 레시피 (eng sub),217,249,204,2020.04.01,9
40,http://www.tving.com/pick/player/top/PKC-1324065,금요일 금요일 밤에,2020.03.27,[체험 삶의 공장] 인셉션 장갑 공장@.@ 아직도 찾지 못한 승기의 팽이...☆,215,5371,5563,2020.04.01,9
41,http://www.tving.com/pick/player/top/PKC-1324087,금요일 금요일 밤에,2020.03.27,[체험 삶의 공장] 이노동 최고의 동료상! 나후배…가 아니고 승기 찐팬 꼬막 대표님♥,198,5877,6084,2020.04.01,9
42,http://www.tving.com/pick/player/top/PKC-1326246,수미네 반찬,2020.03.31,지금 이 딱 제철! 물 없이 만드는 수미표 명란 미더덕찜,197,214,175,2020.04.01,9
43,http://www.tving.com/pick/player/top/PKC-1326067,반의반,2020.03.31,'지수D는 하원에 반응해요' 두 사람 사이에 낀 채수빈 속,194,313,233,2020.04.01,9
44,http://www.tving.com/pick/player/top/PKC-1326304,반의반,2020.03.31,[4화 에필로그] 채수빈의 소중한 의자를 찾아준 사람…정해인♥,192,214,177,2020.04.01,9
45,http://www.tving.com/pick/player/top/PKC-1326018,퀴즈와 음악사이,2020.03.31,[1회/희귀자료] 솔리드 '천생연분'  @1996년 쇼!뮤직탱크,192,251,198,2020.04.01,9
46,http://www.tving.com/pick/player/top/PKC-1326166,반의반,2020.03.31,"[4화 엔딩] ′좋아해요′ 채수빈 짝밍아웃, 정해인에 들킨 짝사랑 #부끄#",188,292,203,2020.04.01,9
47,http://www.tving.com/pick/player/top/PKC-1323434,메모리스트,2020.03.26,"[7화 예고] 유승호x이세영, 예고된 연쇄살인을 막아라!",188,1099,796,2020.04.01,9
48,http://www.tving.com/pick/player/top/PKC-1326077,반의반,2020.03.31,＂내 거짓말로 하원이 엄마가..＂ 김성규X정해인의 얽힌 관계!,185,262,200,2020.04.01,9
49,http://www.tving.com/pick/player/top/PKC-1326016,퀴즈와 음악사이,2020.03.31,[1회/퀴즈] 핑클 리더 이효리의 캐스팅 사연은?,184,221,198,2020.04.01,9
50,http://www.tving.com/pick/player/top/PKC-1326198,수미네 반찬,2020.03.31,맛감별사 종민? 수미네 학생들 승부욕은 불타오르네♨,183,215,165,2020.04.01,9
51,http://www.tving.com/pick/player/top/PKC-1326114,반의반,2020.03.31,"＂언제든 대화해요＂ 채수빈, 정해인 선물에 보답 #약속",183,233,184,2020.04.01,9
52,http://www.tving.com/pick/player/top/PKC-1322644,더블 캐스팅,2020.03.25,[예고] '차지연' 이렇게 신날 일? 뮤지컬계 가요 주크박스! 본선 2R 2탄!,181,6789,7821,2020.04.01,9
53,http://www.tving.com/pick/player/top/PKC-1326252,수미네 반찬,2020.03.31,세리 학생의 명란미더덕찜에 O이 사라졌다?!,180,195,162,2020.04.01,9
54,http://www.tving.com/pick/player/top/PKC-1323715,코미디빅리그,2020.03.27,코빅 라이벌 특집! 불꽃튀는 1쿼터 라이벌들의 1 1 대결+_+,178,4151,4064,2020.04.01,9
55,http://www.tving.com/pick/player/top/PKC-1326125,반의반,2020.03.31,이정은의 등장! '딸 잃은 슬픔'..남몰래 흘리는 눈물,176,212,177,2020.04.01,9
56,http://www.tving.com/pick/player/top/PKC-1325977,퀴즈와 음악사이,2020.03.31,[1회/희귀자료] ′멋짐 폭발′ 현진영 ′흐린 기억속의 그대′ @2002년 쇼킹엠,167,261,203,2020.04.01,9
57,http://www.tving.com/pick/player/top/PKC-1326151,반의반,2020.03.31,′어떻게 모르죠? 이렇게 간절한데..′ 정해인이 짠한 채수빈,164,230,161,2020.04.01,9
58,http://www.tving.com/pick/player/top/PKC-1326167,반의반,2020.03.31,"[5화 예고] ＂누굴 만났길래!＂ 김성규, 이하나에 버럭",161,350,159,2020.04.01,9
59,http://www.tving.com/pick/player/top/PKC-1326142,반의반,2020.03.31,"[달달주의] 정해인X채수빈, 설레는 이메일 주고 받기 *^^*",153,202,159,2020.04.01,9
60,http://www.tving.com/pick/player/top/PKC-1326108,반의반,2020.03.31,"채수빈, 부모님 죽음 후 버틸 수 있던 '세 글자..'",152,214,152,2020.04.01,9
61,http://www.tving.com/pick/player/top/PKC-1326245,수미네 반찬,2020.03.31,냉정한 김종민의 맛 평가! 4기 학생들의 계란만두 점수는?,146,165,128,2020.04.01,9
62,http://www.tving.com/pick/player/top/PKC-1326120,반의반,2020.03.31,"＂지수야, 한서우는 우리 사이에 우연일까?＂ 정해인, 채수빈이 신경쓰인다",146,201,154,2020.04.01,9
63,http://www.tving.com/pick/player/top/PKC-1326096,반의반,2020.03.31,'엄마' 장혜진이 '딸' 채수빈 기다리던 가로등 의자,143,197,152,2020.04.01,9
64,http://www.tving.com/pick/player/top/PKC-1326078,반의반,2020.03.31,"＂하원X지수 둘 사이에 난 끼어들 수가 없어＂ 김성규, 괴로움의 눈물",139,205,153,2020.04.01,9
65,http://www.tving.com/pick/player/top/PKC-1326109,반의반,2020.03.31,"＂짝사랑은 이 맛이지!＂ 채수빈, 시도때도 없이 정해인이 떠오른다♥",137,193,144,2020.04.01,9
66,http://www.tving.com/pick/player/top/PKC-1326007,퀴즈와 음악사이,2020.03.31,[1회/퀴즈] 쇼!뮤직탱크에서 고유 컬러 의상을 다르게 입은 H.O.T. 멤버는 누구?,137,184,148,2020.04.01,9
67,http://www.tving.com/pick/player/top/PKC-1326031,퀴즈와 음악사이,2020.03.31,[1회/퀴즈] 솔리드 멤버 이준이 피어싱을 했던 부위는 어디?,135,159,140,2020.04.01,9
68,http://www.tving.com/pick/player/top/PKC-1326150,반의반,2020.03.31,김성규가 발견한 의문의 전화번호.. ＂설마.. 하..원?＂,124,157,123,2020.04.01,9
69,http://www.tving.com/pick/player/top/PKC-1325190,슬기로운 의사생활,2020.03.30,[●홍일점 미도 캠] 99즈 밴드명이 ′미도와 파라솔♬′이 된 이유는? #릴레이캠 #3탄,124,1069,841,2020.04.01,9
70,http://www.tving.com/pick/player/top/PKC-1326119,반의반,2020.03.31,＂평화롭고 따듯하고＂ 정해인이 기억하는 채수빈 고향 (뭉클) (울컥),120,165,130,2020.04.01,9
71,http://www.tving.com/pick/player/top/PKC-1326140,반의반,2020.03.31,＂식당에서 엄마 본 기분..＂ 막말 남친에 속상한 이상희,117,153,117,2020.04.01,9
72,http://www.tving.com/pick/player/top/PKC-1326014,퀴즈와 음악사이,2020.03.31,[1회/희귀자료] '심쿵' 핑클 'Blue Rain' @1998년 리듬천국,115,151,127,2020.04.01,9
73,http://www.tving.com/pick/player/top/PKC-1325808,너의 목소리가 보여 7,2020.03.31,[너목보 흥터지는 립싱크 모음zip] #신동,115,333,258,2020.04.01,9
74,http://www.tving.com/pick/player/top/PKC-1324323,슬기로운 의사생활,2020.03.28,"[메이킹] 99즈의 떼창, 연기인가 찐텐인가 (ft. 수근&지원의 만나삐리빠리뽕)",115,2565,1881,2020.04.01,9
75,http://www.tving.com/pick/player/top/PKC-1325988,퀴즈와 음악사이,2020.03.31,[1회/희귀자료] ′망치춤 납시오′ H.O.T. ′캔디′ @1996년 쇼!뮤직탱크,114,199,163,2020.04.01,9
76,http://www.tving.com/pick/player/top/PKC-1324063,금요일 금요일 밤에,2020.03.27,[체험 삶의 공장] 19금 꼬막 영화 주연으로 캐스팅된 승기? 노동의 추억 모음.zip,111,3701,3755,2020.04.01,9
77,http://www.tving.com/pick/player/top/PKC-1326141,반의반,2020.03.31,은주하숙 뉴페 이정은! '이상희와 아는 사이?',107,141,105,2020.04.01,9
78,http://www.tving.com/pick/player/top/PKC-1325508,프리한19,2020.03.30,"수입 월 1,000 찍어 본 OOO [내가 스페셜 원! 전 세계 연봉 킹19]",107,440,400,2020.04.01,9
79,http://www.tving.com/pick/player/top/PKC-1321573,금요일 금요일 밤에,2020.03.23,신기한 미술x과학나라 통합 수업! 엉뚱발랄 시청자들의 질문 Q&A,106,511,379,2020.04.01,9
80,http://www.tving.com/pick/player/top/PKC-1325983,퀴즈와 음악사이,2020.03.31,[1회/퀴즈] 현진영의 인기 때문에 생긴 특별한 직원은?,103,164,126,2020.04.01,9
81,http://www.tving.com/pick/player/top/PKC-1326061,퀴즈와 음악사이,2020.03.31,[1회/퀴즈] OPPA가 아이돌 최초로 한 것은?,87,128,106,2020.04.01,9
82,http://www.tving.com/pick/player/top/PKC-1326015,퀴즈와 음악사이,2020.03.31,[1회] '난 그런 기억이 없는데' 효리와 홍철의 소개팅 진실은?,86,291,256,2020.04.01,9
83,http://www.tving.com/pick/player/top/PKC-1325936,날씨가 좋으면 찾아가겠어요,2020.03.31,[MV] 별 - '내가 정말 사랑하는 사람이 있죠' 〈날씨가 좋으면 찾아가겠어요〉 OST Part.4 ♪,84,208,101,2020.04.01,9
84,http://www.tving.com/pick/player/top/PKC-1326080,날씨가 좋으면 찾아가겠어요,2020.03.31,껌딱지처럼 붙어있는 박민영♥서강준 (시작부터 꽁냥꽁냥),83,192,86,2020.04.01,9
85,http://www.tving.com/pick/player/top/PKC-1325449,반의반,2020.03.30,＂밤마다 목소리가 들려요＂ 지수 죽음에 고통받는 채수빈,82,574,532,2020.04.01,9
86,http://www.tving.com/pick/player/top/PKC-1326196,날씨가 좋으면 찾아가겠어요,2020.03.31,"[11회 예고] 말해줘 임은섭, 우리는 사랑이야?",75,161,71,2020.04.01,9
87,http://www.tving.com/pick/player/top/PKC-1324250,루갈,2020.03.30,"최진혁, 자신의 생존 사실 알고 있는 의문남 찾아가?!",67,149,122,2020.04.01,9
88,http://www.tving.com/pick/player/top/PKC-1323158,편 먹고 갈래요? ＜밥블레스유 2＞,2020.03.26,주문하는데도 끝까지 상황극하는.. 역시 언니들^^*,67,153,133,2020.04.01,9
89,http://www.tving.com/pick/player/top/PKC-1325644,요즘책방 : 책 읽어드립니다,2020.03.30,[호밀밭의 파수꾼] 속 '어덜츠플레인(adultsplain)' 홀든의 반항=기성 사회에 대한 저항?!,66,296,265,2020.04.01,9
90,http://www.tving.com/pick/player/top/PKC-1322134,요즘책방 : 책 읽어드립니다,2020.03.24,♨거침없는 분노와 반항! 순수성이 공존하는 성장소설 [호밀밭의 파수꾼],66,2406,2159,2020.04.01,9
91,http://www.tving.com/pick/player/top/PKC-1325507,프리한19,2020.03.30,패션 '개'를 장악한 몸값 1등은? [내가 스페셜 원! 전 세계 연봉 킹19],65,346,315,2020.04.01,9
92,http://www.tving.com/pick/player/top/PKC-1325647,요즘책방 : 책 읽어드립니다,2020.03.30,′호수가 얼면 오리는 어디로 가나요?′ 홀든 콜필드와 성숙과 젊음 사이에서 방황하는 ′우리′,64,246,216,2020.04.01,9
93,http://www.tving.com/pick/player/top/PKC-1325536,프리한19,2020.03.30,세계에서 제일 많이 버는 지도자 [내가 스페셜 원! 전 세계 연봉 킹19],64,399,352,2020.04.01,9
94,http://www.tving.com/pick/player/top/PKC-1326043,퀴즈와 음악사이,2020.03.31,[1회/희귀자료] OPPA ′애국심′ @1998년 리듬천국,63,94,74,2020.04.01,9
95,http://www.tving.com/pick/player/top/PKC-1325105,루갈,2020.03.30,"[비하인드.jpg]   본격 개안 방송 ＜루갈＞ 스틸로 다시 보는 1,2화",63,438,400,2020.04.01,9
96,http://www.tving.com/pick/player/top/PKC-1326187,날씨가 좋으면 찾아가겠어요,2020.03.31,서강준을 향한 김환희의 설움이 담긴 고백 ＂처음부터 좋았거든↗＂,62,98,54,2020.04.01,9
97,http://www.tving.com/pick/player/top/PKC-1325791,eNEWS24,2020.03.31,"'컴백' 홍진영 (HONGJINYOUNG) '사랑은 꽃잎처럼', 조영수 버프 받고 '탱고 트로트 대박예감'",62,153,141,2020.04.01,9
98,http://www.tving.com/pick/player/top/PKC-1326179,날씨가 좋으면 찾아가겠어요,2020.03.31,[책방일지#10] 순간순간 웃는 모습을 볼 때마다 눈이 부시다.,61,126,54,2020.04.01,9
99,http://www.tving.com/pick/player/top/PKC-1325612,요즘책방 : 책 읽어드립니다,2020.03.30,"설민석의 [호밀밭의 파수꾼] 강독 (3) ▶ 문제아 홀든, 행복을 찾아서! ft.구원자 여동생 피비",61,706,669,2020.04.01,9
0,http://www.tving.com/pick/player/top/PKC-1326759,TMI NEWS,2020.04.01,"[35회] 비공개 결혼 NO, 완전 공개 YES! 동네방네 알리고픈 나의 결혼",6044,7557,6606,2020.04.02,14
1,http://www.tving.com/pick/player/top/PKC-1326814,TMI NEWS,2020.04.01,"[35회] 500만 원 현금다발 조카 돌잔치에 투척, FLEX~ '사이먼 도미닉'",2281,2292,2276,2020.04.02,14
2,http://www.tving.com/pick/player/top/PKC-1326763,프리한마켓10,2020.04.01,산소가 부족한 요즘ㅠ_ㅠ 고농도 클린산소 만드는 산소 발생기,2259,2869,2489,2020.04.02,14
3,http://www.tving.com/pick/player/top/PKC-1322954,TMI NEWS,2020.03.26,"[예고] 전현무, TMI NEWS에서 결혼 발표를?! 충격적으로 결혼 발표한 아이돌 & 조카 바보 아이돌 BEST 7!",2258,3628,3422,2020.04.02,14
4,http://www.tving.com/pick/player/top/PKC-1326592,수미네 반찬,2020.04.01,삼시세끼 밥상지옥? 신봉선 감탄 연발! '총각두부짜글이' 하나 배워봐!,2189,4292,4160,2020.04.02,14
5,http://www.tving.com/pick/player/top/PKC-1326765,프리한마켓10,2020.04.01,′폐암 원인′ 라돈 걱정 그만! 수치 체크해주는 똑똑한 공기청정기,2072,2473,2188,2020.04.02,14
6,http://www.tving.com/pick/player/top/PKC-1326595,TMI NEWS,2020.04.01,"[선공개] 태어났는데 초롱, 창조가 이모, 삼촌이라고요?!",1763,2069,1960,2020.04.02,14
7,http://www.tving.com/pick/player/top/PKC-1327100,로드 투 킹덤,2020.04.02,"[Teaser] 그들의 전쟁이 시작됩니다, 살아남아라! ＜로드 투 킹덤＞ 4/30(목) 저녁 8시 첫.방.송",1533,1533,1533,2020.04.02,14
8,http://www.tving.com/pick/player/top/PKC-1321852,프리한마켓10,2020.03.24,[예고] 외출이 두려운 요즘! 바이러스 잡는 특급 면역력 아이템 10,1431,5866,5569,2020.04.02,14
9,http://www.tving.com/pick/player/top/PKC-1326782,TMI NEWS,2020.04.01,"[35회] ※특명※ 찐 조카 바보를 가려내라, 60초 TMI 인터뷰",1358,1433,1381,2020.04.02,14
10,http://www.tving.com/pick/player/top/PKC-1325316,대탈출 3,2020.03.30,"동현이 심장은 가루가 되었어요.. 끝없는 공포, 어둠의 별장",1280,9411,9136,2020.04.02,14
11,http://www.tving.com/pick/player/top/PKC-1326740,TMI NEWS,2020.04.01,[35회] TMI NEWS 장난 아니에요~ 걱정하지 마 NO NO NO~ (with 창조&초롱),1269,1369,1310,2020.04.02,14
12,http://www.tving.com/pick/player/top/PKC-1326581,더블 캐스팅,2020.04.01,"[예고] 본선 3라운드! 정말 꿈 같이 황홀해지는, 뮤지컬계 샛별 12명의 무대!",1242,1469,1407,2020.04.02,14
13,http://www.tving.com/pick/player/top/PKC-1326744,TMI NEWS,2020.04.01,[35회] 4년 만에 다복한 가족이 된 아이돌 커플 'FT아일랜드 최민환♥률희',1184,1279,1218,2020.04.02,14
14,http://www.tving.com/pick/player/top/PKC-1318761,프리한마켓10,2020.03.18,"[티저] 더 이상 쇼핑고민은 그만! 취향템만 쏙쏙, ＜프리한마켓10＞이 돌아왔습니다♪",1105,2475,1313,2020.04.02,14
15,http://www.tving.com/pick/player/top/PKC-1326739,TMI NEWS,2020.04.01,[35회] 이게 말이 돼..? 누추한 곳에 등장한 귀한 인간 가습기,1021,1083,1046,2020.04.02,14
16,http://www.tving.com/pick/player/top/PKC-1327021,메모리스트,2020.04.02,"[8화 예고] 연쇄살인마 집행자, 유승호x이세영 동시에 노리는 이유는?",941,978,928,2020.04.02,14
17,http://www.tving.com/pick/player/top/PKC-1326758,프리한마켓10,2020.04.01,[언박싱] '어머 이게 뭐야♡' 야망기자 문지애의 ★건식 족욕기★ 셀프언박싱!,907,1289,1130,2020.04.02,14
18,http://www.tving.com/pick/player/top/PKC-1324252,루갈,2020.03.30,[3화 예고] '그렇게 날 만나고 싶었어?' 마침내 대면한 최진혁VS박성웅!,835,2663,2357,2020.04.02,14
19,http://www.tving.com/pick/player/top/PKC-1321332,프리한마켓10,2020.03.23,[예고] 면역력이 걱정인 당신을 위한! 바이러스 OUT 쇼핑템10,768,1739,950,2020.04.02,14
20,http://www.tving.com/pick/player/top/PKC-1325405,겟잇뷰티 2020,2020.03.30,[겟잇뷰티2020]코덕들의 필수템 뷰라벨 쿠션팩트!A부터 Z까지 찐꿀팁 대방출,767,5109,5157,2020.04.02,14
21,http://www.tving.com/pick/player/top/PKC-1326755,TMI NEWS,2020.04.01,[35회] 축가로 재 탄생한 Mr. Chu♥ ('츄' 나올 때마다 뽀뽀하기♥),756,779,758,2020.04.02,14
22,http://www.tving.com/pick/player/top/PKC-1326171,반의반,2020.03.31,"[5화 예고] 채수빈, 정해인식 사랑에 선긋기 ＂나 행복하려는 짝사랑＂",623,1356,1036,2020.04.02,14
23,http://www.tving.com/pick/player/top/PKC-1325190,슬기로운 의사생활,2020.03.30,[●홍일점 미도 캠] 99즈 밴드명이 ′미도와 파라솔♬′이 된 이유는? #릴레이캠 #3탄,593,1759,1513,2020.04.02,14
24,http://www.tving.com/pick/player/top/PKC-1327072,라디오스타,2020.04.02,생활고에 제대로 치료도 못 받았던 임영웅...ㅠㅠ ＂이모 감사해웅 ♥＂,553,586,541,2020.04.02,14
25,http://www.tving.com/pick/player/top/PKC-1326733,프리한마켓10,2020.04.01,바이러스 예방 필수템! 살균력 99.9% 손소독제 + 핸드크림,544,678,593,2020.04.02,14
26,http://www.tving.com/pick/player/top/PKC-1325964,요즘책방 : 책 읽어드립니다,2020.03.31,타인은 모두 관종?! 상대와 세상을 바꿀 인간관계의 바이블! [인간관계론],475,1325,1130,2020.04.02,14
27,http://www.tving.com/pick/player/top/PKC-1326705,곽승준의 쿨까당,2020.04.01,국가 긴급 재난 지원금 이슈! 현금 지원을 해주는 이유?,474,492,478,2020.04.02,14
28,http://www.tving.com/pick/player/top/PKC-1324250,루갈,2020.03.30,"최진혁, 자신의 생존 사실 알고 있는 의문남 찾아가?!",473,639,594,2020.04.02,14
29,http://www.tving.com/pick/player/top/PKC-1326977,라디오스타,2020.04.01,＂문자 500통은 기본!＂ 폭주하는 트로트 스타들의 휴대폰!,446,593,437,2020.04.02,14
30,http://www.tving.com/pick/player/top/PKC-1326734,프리한마켓10,2020.04.01,"'몸이 좀 약해졌다' 싶을 땐, 포도주스 맛 나는 면역 드링크♥",424,537,463,2020.04.02,14
31,http://www.tving.com/pick/player/top/PKC-1326738,프리한마켓10,2020.04.01,전국의 옹성우들 주목! '하루 물 한 병'의 비밀♪,409,558,473,2020.04.02,14
32,http://www.tving.com/pick/player/top/PKC-1326743,TMI NEWS,2020.04.01,"[35회] ※에이핑크, 틴탑 멤버 피셜※ 가장 먼저 결혼할 것 같은 멤버는?",393,443,410,2020.04.02,14
33,http://www.tving.com/pick/player/top/PKC-1326689,곽승준의 쿨까당,2020.04.01,코로나가 아니면 고열에도 치료를 못 받는다?!,382,385,377,2020.04.02,14
34,http://www.tving.com/pick/player/top/PKC-1325366,라디오스타,2020.03.30,"《셀프캠》 특집 '오늘은 미스터트롯' 임영웅, 영탁, 이찬원, 장민호",381,876,572,2020.04.02,14
35,http://www.tving.com/pick/player/top/PKC-1324247,루갈,2020.03.30,"의문의 남성, 최진혁 아내 살해 자백?! #폭발사고_발생♨",377,500,462,2020.04.02,14
36,http://www.tving.com/pick/player/top/PKC-1326569,라디오스타,2020.04.01,[선공개] 시기 질투가 꽃피는(?) 사이 좋은 트롯맨들✿,372,807,529,2020.04.02,14
