,actor,broadcast_date,channel,count,crawling_day,crawling_time,genre,p_url,price,program,sale_day,sale_week,title,view_day,view_total,view_week
26,"강호동,김종민,신동희,유병재,김동현,표지훈",20190602,,1.0,2020.04.01,9,예능,,1650.0,대탈출2,4.0,41.0,,1435,299261.0,6871
27,,20200330,,1.0,2020.04.01,9,예능,,1650.0,무엇이든 물어보살,1.0,1.0,,1409,2239.0,773
28,"송은이,김숙,박나래,장도연",20200326,,1.0,2020.04.01,9,예능,,1650.0,밥블레스유2,2.0,31.0,,1377,27178.0,15372
29,,20200329,,1.0,2020.04.01,9,드라마,,1650.0,어쩌다 가족,1.0,2.0,,1284,8603.0,4599
30,,20200326,,1.0,2020.04.01,9,예능,,1650.0,미스터트롯의 맛,2.0,59.0,,1134,34040.0,17900
31,"이수근,김동현,황제성,황치열,이용진,이진호,이이경,정혁",20200321,,1.0,2020.04.01,9,예능,,1650.0,플레이어2,1.0,7.0,,1076,36067.0,9594
32,,20200328,,1.0,2020.04.01,9,드라마,,1650.0,유별나 문셰프,2.0,4.0,,1059,9823.0,5679
33,,20200331,,1.0,2020.04.01,9,예능,,1650.0,<비디오 스타>,4.0,4.0,,1040,1455.0,332
34,,20200331,,1.0,2020.04.01,9,예능,,1650.0,JTBC 뉴스룸,0.0,0.0,,1004,62320.0,6679
35,,20200322,,1.0,2020.04.01,9,드라마,,1650.0,본대로말하라,2.0,35.0,,992,70527.0,17785
36,,20190609,,1.0,2020.04.01,9,예능,,1650.0,대탈출2 감독판,1.0,19.0,,978,166790.0,4872
37,"신성록,MichaelK.Lee,차지연,엄기준,한지상,이지나",20200328,,1.0,2020.04.01,9,예능,,1650.0,더블캐스팅,4.0,45.0,,936,9948.0,5989
38,,20200330,,1.0,2020.04.01,9,예능,,1650.0,풍문으로 들었쇼,0.0,0.0,,916,1495.0,872
39,"박해수,정경호,정수정,임화영,최명수,정웅인,박호산,정민성,안경찬,박형수",20180118,,1.0,2020.04.01,9,드라마,,0.0,슬기로운 감빵생활,2.0,15.0,,914,395964.0,4942
40,"강호동,김종민,신동희,유병재,김동현,표지훈",20180924,,1.0,2020.04.01,9,예능,,1650.0,대탈출,1.0,3.0,,839,184248.0,4101
41,,20200327,,1.0,2020.04.01,9,예능,,1650.0,너의 목소리가 보여7,1.0,24.0,,830,14891.0,8555
42,"정문성,김민재,김인권,고규필,엄지원,현승민,성동일,조민수",20200317,,1.0,2020.04.01,9,드라마,,1650.0,방법,1.0,21.0,,817,108096.0,7877
43,,20200327,,1.0,2020.04.01,9,예능,,1650.0,마포 멋쟁이,0.0,0.0,,801,12798.0,7053
44,"김영옥,장동민,최현석",20200331,,1.0,2020.04.01,9,예능,,1650.0,수미네반찬,0.0,0.0,,767,958.0,126
45,,20200331,,1.0,2020.04.01,9,예능,,1650.0,돈길만 걸어요 - 정산회담,0.0,0.0,,742,954.0,156
46,,20200331,,1.0,2020.04.01,9,예능,,1650.0,퀴즈와 음악 사이,0.0,0.0,,719,927.0,312
47,"강호동,이수근,은지원,조규현,송민호,표지훈",20200103,,1.0,2020.04.01,9,예능,,1650.0,신서유기7,2.0,4.0,,578,593771.0,2902
48,,20200325,,1.0,2020.04.01,9,예능,,1650.0,차이나는 클라스,1.0,11.0,,562,8905.0,5177
49,,20200330,,1.0,2020.04.01,9,예능,,1650.0,오지GO with 코무바울루,0.0,0.0,,552,1001.0,577
50,,20200326,,1.0,2020.04.01,9,예능,,1650.0,[어서와 한국은 처음이지?],2.0,12.0,,511,10925.0,6128
51,"강호동,이수근,은지원,안재현,송민호,표지훈",20181028,,1.0,2020.04.01,9,예능,,1650.0,신서유기5,1.0,3.0,,475,783085.0,2296
52,,20200327,,1.0,2020.04.01,9,드라마,,1650.0,눈물의 이별,1.0,7.0,,435,5959.0,2893
53,,20200330,,1.0,2020.04.01,9,예능,,1650.0,판도라,0.0,0.0,,429,794.0,423
54,,20200326,,1.0,2020.04.01,9,예능,,1650.0,도시어부2 : 대항해 시대,1.0,9.0,,419,9018.0,5227
55,,20200326,,1.0,2020.04.01,9,키즈/애니,,550.0,"4화  붉은 독의 저주, 분노한 재앙신의 전설",6.0,202.0,,417,6945.0,3513
56,,20200330,,1.0,2020.04.01,9,드라마,,1650.0,몽회: 한여름 밤의 꿈,0.0,0.0,,416,838.0,391
57,"강호동,이수근,은지원,안재현,송민호,표지훈",20181202,,1.0,2020.04.01,9,예능,,1650.0,신서유기6,1.0,1.0,,411,780199.0,1924
58,,20200331,,1.0,2020.04.01,9,드라마,,1650.0,장야2,0.0,0.0,,396,596.0,88
59,"박서준,박민영,이태환,강기영,황찬성,표예진,김혜옥,김병옥,황보라,강홍석",20180726,,1.0,2020.04.01,9,드라마,,1650.0,김비서가 왜 그럴까,2.0,2.0,,386,366345.0,2060
60,,20200329,,1.0,2020.04.01,9,예능,,1650.0,유랑마켓,0.0,0.0,,373,2155.0,1282
61,,20190705,,1.0,2020.04.01,9,예능,,1650.0,강식당2,1.0,1.0,,373,568962.0,1906
62,,20190928,,1.0,2020.04.01,9,드라마,,0.0,멜로가 체질,2.0,2.0,,368,334542.0,2087
63,,20200329,,1.0,2020.04.01,9,예능,,1650.0,기막힌 이야기 실제상황,0.0,1.0,,362,1713.0,865
64,"강호동,이수근,은지원,안재현,조규현,송민호,표지훈",20190802,,1.0,2020.04.01,9,예능,,1650.0,강식당3,1.0,4.0,,350,408834.0,1834
65,,20191213,,1.0,2020.04.01,9,키즈/애니,,550.0,37화  닮은 사람끼리 견원지간,1.0,5.0,,337,66997.0,1729
66,,20200331,,1.0,2020.04.01,9,예능,,1650.0,사건반장,0.0,0.0,,329,11102.0,1683
67,,20200326,,1.0,2020.04.01,9,예능,,1650.0,이규연의 스포트라이트,0.0,0.0,,315,619.0,349
68,"이지은,여진구,신정근,서이숙,배해선,표지훈,조현철,강홍석,이도현,이태선",20190901,,1.0,2020.04.01,9,드라마,,1650.0,호텔 델루나,1.0,1.0,,315,559827.0,1577
69,"임수정,장기용,이다희,전혜진,이재욱,지승현,권해효,김남희,우지현,오아연",20190725,,1.0,2020.04.01,9,드라마,,1650.0,검색어를 입력하세요 WWW,1.0,1.0,,301,399164.0,1658
70,,20191111,,1.0,2020.04.01,9,키즈/애니,,550.0,제24화 감기에 걸려서 심심해요/아빠가 건강검진을 받는대요/아기 타조의 엄마가 됐어요,2.0,6.0,,299,74430.0,1415
71,"강호동,이수근,은지원,안재현,조규현,송민호",20170815,,1.0,2020.04.01,9,예능,,0.0,신서유기 시즌4,1.0,1.0,,286,531329.0,1439
72,,20200331,,1.0,2020.04.01,9,예능,,1650.0,천일야사,0.0,0.0,,281,341.0,26
73,,20200330,,1.0,2020.04.01,9,예능,,1650.0,아이콘택트,1.0,1.0,,277,608.0,312
74,,20200306,,1.0,2020.04.01,9,예능,,1650.0,슈가맨 3,1.0,4.0,,277,98471.0,2374
75,"윤진영,장도연,이은형,허안나,강재준,양세형,최성민,이용진,이진호,양세찬",20200329,,1.0,2020.04.01,9,예능,,1650.0,2020 코미디빅리그 1쿼터 하이라이트,0.0,0.0,,270,2523.0,1354
76,,20180805,,1.0,2020.04.01,9,드라마,,1650.0,라이프온마스,1.0,1.0,,263,217980.0,1313
77,,20200316,,1.0,2020.04.01,9,예능,,1650.0,더 짠내투어,1.0,1.0,,247,15059.0,1737
78,"도경수,남지현,조성하,조한철,김선호,한소희,김재영,안석환,정해균,이준혁",20181030,,1.0,2020.04.01,9,드라마,,1650.0,백일의낭군님,2.0,18.0,,247,229394.0,2039
79,,20200330,,1.0,2020.04.01,9,예능,,1650.0,곡FARM!,0.0,0.0,,240,508.0,321
80,"공지철,이동욱,김고은,유인나,육성재(BTOB)",20170121,,1.0,2020.04.01,9,드라마,,0.0,도깨비,1.0,5.0,,238,899072.0,1260
81,,20200327,,1.0,2020.04.01,9,예능,,1650.0,너희가 힙합을 아느냐 5회,1.0,7.0,,235,3960.0,2587
82,"고수,김승욱,이성민,심은경,유태오,방은희,김정팔,최병모,최덕문,송재룡,김",20200305,,1.0,2020.04.01,9,드라마,,1650.0,머니게임,1.0,1.0,,228,48192.0,1867
83,,20200327,,1.0,2020.04.01,9,예능,,1650.0,내 안의 발라드,1.0,9.0,,223,3653.0,2146
84,,20200328,,1.0,2020.04.01,9,예능,,1650.0,자연스럽게,1.0,7.0,,222,2879.0,1633
85,,20200329,,1.0,2020.04.01,9,예능,,1650.0,아빠본색,0.0,0.0,,209,923.0,527
86,,20160116,,1.0,2020.04.01,9,드라마,,1650.0,응답하라1988,1.0,3.0,,209,648280.0,1145
87,,20200314,,1.0,2020.04.01,9,예능,,1650.0,내일은 미스터트롯,1.0,1.0,,203,34137.0,1818
88,,20200329,,1.0,2020.04.01,9,예능,,1650.0,"우리, 사랑을 쓸까요? 더 로맨스",1.0,4.0,,201,1780.0,985
89,,20170822,,1.0,2020.04.01,9,예능/뮤직,,1650.0,신서유기_시즌4_감독판,1.0,2.0,,196,448525.0,1110
90,"강호동,이수근,은지원,안재현,조규현,송민호",20170317,,1.0,2020.04.01,9,예능/뮤직,,1650.0,신서유기 시즌3 스페셜,1.0,1.0,,196,339879.0,1097
91,,20200331,,1.0,2020.04.01,9,드라마,,1650.0,"정오, 오",0.0,0.0,,193,239.0,38
92,,20131228,,1.0,2020.04.01,9,드라마,,1650.0,90년대에게,1.0,2.0,,178,468634.0,1043
93,"이민기,정소민,박병은,이솜,김민석,김가은,김병옥,김선영,김응수,문희경,황",20171128,,1.0,2020.04.01,9,드라마,,0.0,이번 생은 처음이라,2.0,2.0,,172,317912.0,1210
94,,20171227,,1.0,2020.04.01,9,드라마,,1650.0,<슬기로운 감빵생활> 비하인드,1.0,2.0,,168,129673.0,923
95,,20200329,,1.0,2020.04.01,9,예능,,1650.0,이제 만나러 갑니다,0.0,1.0,,162,1007.0,546
96,,20150822,,1.0,2020.04.01,9,드라마,,1650.0,오 나의 귀신님,1.0,2.0,,162,134767.0,903
97,,20200226,,1.0,2020.04.01,9,예능,,1650.0,놀라운 토요일 도레미마켓 미방분 스페셜,3.0,12.0,,158,36577.0,1120
98,"박민영,김재욱,안보현,박진주,정제원,김보라,홍서영,맹상훈,김미경,김선영",20190530,,1.0,2020.04.01,9,드라마,,1650.0,그녀의 사생활,1.0,2.0,,158,171046.0,738
99,"강호동,이수근,은지원,안재현",20160617,,1.0,2020.04.01,9,예능/뮤직,,1650.0,드래곤볼을 향한 마지막 몸부림!,1.0,1.0,,158,284780.0,763
100,,20200401,,1.0,2020.04.02,14,예능,,1650.0,하트시그널 시즌3,146.0,109.0,,19750,26617.0,2922
101,,20200401,,1.0,2020.04.02,14,드라마,,1650.0,메모리스트,22.0,10.0,,19180,22923.0,2343
102,,20200328,,1.0,2020.04.02,14,드라마,,1650.0,부부의 세계,90.0,702.0,,17217,177763.0,99099
103,"강호동,김종민,김동현,신동희,유병재,표지훈",20200329,,1.0,2020.04.02,14,예능,,1650.0,대탈출3,111.0,1489.0,,16435,162862.0,83656
104,,20200331,,1.0,2020.04.02,14,드라마,,1650.0,날씨가 좋으면 찾아가겠어요,26.0,65.0,,16422,33963.0,16914
105,"안은진,하윤경,김혜인,조이현,김수진,조정석,안연석,정경호,김대명,전미도",20200326,,1.0,2020.04.02,14,드라마,,1650.0,슬기로운 의사생활,24.0,764.0,,13700,327022.0,186590
106,,20200328,,1.0,2020.04.02,14,예능,,1650.0,아는 형님,3.0,82.0,,9834,113024.0,60021
107,"정해인,채수빈,이하나,김성규,이나리,이정은,이승준,강봉성,김정우,우지현",20200331,,1.0,2020.04.02,14,드라마,,1650.0,반의반,22.0,56.0,,8966,18564.0,9397
108,,20200331,,1.0,2020.04.02,14,예능,,1650.0,세상 어디에도 없는 ′아내의 맛′,8.0,15.0,,8939,16567.0,7482
109,"김태희,이규형,고보결,서우진,김미경,박수영,김미수,신동미,오의식,윤수미",20200329,,1.0,2020.04.02,14,드라마,,1650.0,하이바이마마,11.0,236.0,,8566,106645.0,54420
110,,20200329,,1.0,2020.04.02,14,드라마,,1650.0,루갈,6.0,63.0,,7201,60312.0,33621
111,"설민석,전현무,이동준,윤소희,장강명,김상욱,문가영",20200330,,1.0,2020.04.02,14,예능,,1650.0,책 읽어드립니다,9.0,22.0,,5925,20737.0,11582
112,,20200331,,1.0,2020.04.02,14,예능,,1650.0,연애의 참견 시즌3,3.0,2.0,,5488,8665.0,2923
113,"신동엽,이혜리,박나래,김동현,문세윤,이민호,표지훈,이준영,김미경",20200328,,1.0,2020.04.02,14,예능,,1650.0,도레미 마켓,7.0,129.0,,5338,79900.0,45169
114,,20200329,,1.0,2020.04.02,14,예능,,1650.0,뭉쳐야 찬다,5.0,69.0,,4622,49418.0,27210
115,,20200328,,1.0,2020.04.02,14,드라마,,1650.0,부부의 세계,26.0,187.0,,4575,52454.0,28449
116,"유재석,조세호",20200325,,1.0,2020.04.02,14,예능,,1650.0,유 퀴즈 온 더 블럭,8.0,159.0,,3568,70485.0,41722
117,,20200330,,1.0,2020.04.02,14,예능,,1650.0,77억의 사랑,9.0,37.0,,3559,15938.0,8906
118,,20200321,,1.0,2020.04.02,14,드라마,,1650.0,이태원 클라쓰,5.0,85.0,,3402,316931.0,31950
119,,20200328,,1.0,2020.04.02,14,예능,,1650.0,트래블러-아르헨티나,1.0,39.0,,2483,26706.0,15481
120,,20200327,,1.0,2020.04.02,14,예능,,1650.0,맛있는 녀석들,1.0,11.0,,2100,31667.0,18179
121,"김영옥,장동민,최현석",20200331,,1.0,2020.04.02,14,예능,,1650.0,수미네반찬,3.0,3.0,,1907,3120.0,1639
122,"강호동,김종민,신동희,유병재,김동현,표지훈",20190602,,1.0,2020.04.02,14,예능,,1650.0,대탈출2,11.0,41.0,,1804,301969.0,7202
123,,20200331,,1.0,2020.04.02,14,예능,,1650.0,<비디오 스타>,4.0,8.0,,1716,3443.0,1726
124,,20200330,,1.0,2020.04.02,14,예능,,1650.0,무엇이든 물어보살,1.0,2.0,,1656,4217.0,1937
125,"서지혜,김정현,남경읍,방은진,최대훈,황진희,박형수,윤지영,고규필,임철수",20200216,,1.0,2020.04.02,14,드라마,,1650.0,사랑의 불시착,2.0,22.0,,1597,552213.0,8017
126,,20200331,,1.0,2020.04.02,14,예능,,1650.0,돈길만 걸어요 - 정산회담,3.0,3.0,,1562,2480.0,1413
127,,20200401,,1.0,2020.04.02,14,예능,,1650.0,차이나는 클라스,1.0,1.0,,1493,1833.0,264
128,"이상준,최지용,임건희,신규진,정호철,박나래,김지민,신영일,허영지,박광수",20200322,,1.0,2020.04.02,14,예능,,1650.0,코미디빅리그,2.0,33.0,,1340,37572.0,9802
129,"송은이,김숙,박나래,장도연",20200326,,1.0,2020.04.02,14,예능,,1650.0,밥블레스유2,1.0,32.0,,1276,28745.0,16238
130,"이승기,김상욱,은지원,송민호,장도연,양정무,이서진,홍진경,한준희,박지윤",20200327,,1.0,2020.04.02,14,예능,,1650.0,금요일 금요일 밤에,1.0,30.0,,1269,34631.0,21638
131,,20200329,,1.0,2020.04.02,14,예능,,1650.0,방구석 1열,3.0,12.0,,1233,13319.0,8345
132,,20190609,,1.0,2020.04.02,14,예능,,1650.0,대탈출2 감독판,1.0,19.0,,1209,168699.0,5056
133,,20200326,,1.0,2020.04.02,14,예능,,1650.0,미스터트롯의 맛,1.0,60.0,,1187,35749.0,18646
134,,20200401,,1.0,2020.04.02,14,예능,,1650.0,주간아이돌,27.0,26.0,,1053,1922.0,619
135,"강호동,김종민,신동희,유병재,김동현,표지훈",20180924,,1.0,2020.04.02,14,예능,,1650.0,대탈출,1.0,3.0,,1051,185875.0,4254
136,,20200329,,1.0,2020.04.02,14,드라마,,1650.0,어쩌다 가족,2.0,4.0,,999,9943.0,5251
137,,20200328,,1.0,2020.04.02,14,드라마,,1650.0,유별나 문셰프,2.0,4.0,,977,11103.0,6346
138,"박해수,정경호,정수정,임화영,최명수,정웅인,박호산,정민성,안경찬,박형수",20180118,,1.0,2020.04.02,14,드라마,,0.0,슬기로운 감빵생활,2.0,15.0,,963,397193.0,4995
139,,20200322,,1.0,2020.04.02,14,드라마,,1650.0,본대로말하라,2.0,21.0,,945,71749.0,12229
140,,20200401,,1.0,2020.04.02,14,예능,,1650.0,JTBC 뉴스룸,0.0,0.0,,941,63403.0,6556
141,"이수근,김동현,황제성,황치열,이용진,이진호,이이경,정혁",20200321,,1.0,2020.04.02,14,예능,,1650.0,플레이어2,2.0,8.0,,914,37253.0,8216
142,,20200401,,1.0,2020.04.02,14,예능,,1650.0,우리 다시 사랑할 수 있을까 시즌2,0.0,0.0,,858,984.0,91
143,,20200330,,1.0,2020.04.02,14,예능,,1650.0,내가 스페셜 원! 전 세계 연봉킹 19,1.0,1.0,,815,3651.0,2120
144,"정문성,김민재,김인권,고규필,엄지원,현승민,성동일,조민수",20200317,,1.0,2020.04.02,14,드라마,,1650.0,방법,1.0,16.0,,805,109208.0,6689
145,,20200327,,1.0,2020.04.02,14,예능,,1650.0,너의 목소리가 보여7,1.0,24.0,,782,15868.0,9067
146,,20200327,,1.0,2020.04.02,14,예능,,1650.0,마포 멋쟁이,0.0,0.0,,762,13838.0,7538
147,,20200401,,1.0,2020.04.02,14,예능,,1650.0,한끼줍쇼 외전 - 한끼인의 밥상,0.0,0.0,,753,959.0,120
148,"신성록,MichaelK.Lee,차지연,엄기준,한지상,이지나",20200328,,1.0,2020.04.02,14,예능,,1650.0,더블캐스팅,1.0,47.0,,737,10866.0,6501
149,,20200331,,1.0,2020.04.02,14,예능,,1650.0,퀴즈와 음악 사이,1.0,1.0,,736,1484.0,962
150,"강호동,이수근,은지원,조규현,송민호,표지훈",20200103,,1.0,2020.04.02,14,예능,,1650.0,신서유기7,2.0,4.0,,650,594691.0,2947
151,"강호동,이수근,은지원,안재현,송민호,표지훈",20181028,,1.0,2020.04.02,14,예능,,1650.0,신서유기5,1.0,3.0,,574,783906.0,2324
152,,20200331,,1.0,2020.04.02,14,예능,,1650.0,천일야사,4.0,4.0,,568,958.0,448
153,,20200326,,1.0,2020.04.02,14,예능,,1650.0,[어서와 한국은 처음이지?],2.0,12.0,,561,11668.0,6438
154,,20190705,,1.0,2020.04.02,14,예능,,1650.0,강식당2,1.0,1.0,,542,569736.0,2007
155,,20200326,,1.0,2020.04.02,14,키즈/애니,,550.0,"4화  붉은 독의 저주, 분노한 재앙신의 전설",7.0,209.0,,493,7615.0,3796
156,"박서준,박민영,이태환,강기영,황찬성,표예진,김혜옥,김병옥,황보라,강홍석",20180726,,1.0,2020.04.02,14,드라마,,1650.0,김비서가 왜 그럴까,1.0,3.0,,455,366977.0,2054
157,"강호동,이수근,은지원,안재현,조규현,송민호,표지훈",20190802,,1.0,2020.04.02,14,예능,,1650.0,강식당3,1.0,4.0,,449,409509.0,1870
158,,20200401,,1.0,2020.04.02,14,예능,,1650.0,TMI NEWS,0.0,0.0,,442,635.0,167
159,,20200326,,1.0,2020.04.02,14,예능,,1650.0,도시어부2 : 대항해 시대,1.0,9.0,,421,9535.0,5521
160,"강호동,이수근,은지원,안재현,송민호,표지훈",20181202,,1.0,2020.04.02,14,예능,,1650.0,신서유기6,1.0,1.0,,416,780867.0,1913
161,,20200401,,1.0,2020.04.02,14,드라마,,1650.0,장야2,0.0,0.0,,380,469.0,31
162,,20190928,,1.0,2020.04.02,14,드라마,,0.0,멜로가 체질,2.0,2.0,,373,335036.0,2036
163,"이지은,여진구,신정근,서이숙,배해선,표지훈,조현철,강홍석,이도현,이태선",20190901,,1.0,2020.04.02,14,드라마,,1650.0,호텔 델루나,1.0,1.0,,352,560317.0,1588
164,,20200306,,1.0,2020.04.02,14,예능,,1650.0,슈가맨 3,1.0,4.0,,345,98911.0,2280
165,,20200327,,1.0,2020.04.02,14,드라마,,1650.0,눈물의 이별,1.0,7.0,,343,6413.0,3126
166,"임수정,장기용,이다희,전혜진,이재욱,지승현,권해효,김남희,우지현,오아연",20190725,,1.0,2020.04.02,14,드라마,,1650.0,검색어를 입력하세요 WWW,1.0,1.0,,328,399650.0,1658
167,,20191213,,1.0,2020.04.02,14,키즈/애니,,550.0,37화  닮은 사람끼리 견원지간,1.0,2.0,,312,67441.0,1712
168,,20200401,,1.0,2020.04.02,14,예능,,1650.0,사건반장,0.0,0.0,,311,11500.0,1665
169,,20180805,,1.0,2020.04.02,14,드라마,,1650.0,라이프온마스,1.0,1.0,,308,218406.0,1359
170,"공지철,이동욱,김고은,유인나,육성재(BTOB)",20170121,,1.0,2020.04.02,14,드라마,,0.0,도깨비,1.0,4.0,,303,899453.0,1247
171,"강호동,이수근,은지원,안재현,조규현,송민호",20170815,,1.0,2020.04.02,14,예능,,0.0,신서유기 시즌4,2.0,1.0,,302,531810.0,1435
172,,20200401,,1.0,2020.04.02,14,예능,,1650.0,대한외국인,0.0,0.0,,289,352.0,47
173,,20200401,,1.0,2020.04.02,14,드라마,,1650.0,"일정, 오",0.0,0.0,,286,358.0,70
174,,20191111,,1.0,2020.04.02,14,키즈/애니,,550.0,제24화 감기에 걸려서 심심해요/아빠가 건강검진을 받는대요/아기 타조의 엄마가 됐어요,2.0,6.0,,286,74827.0,1378
175,,20200326,,1.0,2020.04.02,14,예능,,1650.0,이규연의 스포트라이트,0.0,0.0,,269,903.0,523
176,,20200329,,1.0,2020.04.02,14,예능,,1650.0,기막힌 이야기 실제상황,0.0,1.0,,256,2030.0,1025
177,"강호동,이수근,은지원,안재현,조규현,송민호",20170317,,1.0,2020.04.02,14,예능/뮤직,,1650.0,신서유기 시즌3 스페셜,1.0,1.0,,256,340243.0,1121
178,"고수,김승욱,이성민,심은경,유태오,방은희,김정팔,최병모,최덕문,송재룡,김",20200305,,1.0,2020.04.02,14,드라마,,1650.0,머니게임,1.0,1.0,,255,48525.0,1761
179,"지성,한지민,장현덕,강한나,이정은,손종학,박원상,김수진,박재영,오의식,차",20180920,,1.0,2020.04.02,14,드라마,,1650.0,아는와이프,2.0,1.0,,251,146745.0,477
180,"김경화,문지애,김소영",20200401,,1.0,2020.04.02,14,예능,,1650.0,프리한마켓 10,0.0,0.0,,249,325.0,108
181,,20200330,,1.0,2020.04.02,14,예능,,1650.0,풍문으로 들었쇼,1.0,1.0,,240,1757.0,1047
182,,20200401,,1.0,2020.04.02,14,예능,,1650.0,입짧은햇님,0.0,0.0,,238,348.0,158
183,,20200327,,1.0,2020.04.02,14,예능,,1650.0,너희가 힙합을 아느냐,1.0,8.0,,238,4218.0,2748
184,,20200329,,1.0,2020.04.02,14,예능,,1650.0,유랑마켓,0.0,0.0,,237,2417.0,1462
185,,20200401,,1.0,2020.04.02,14,예능,,1650.0,인생다큐마이웨이,0.0,0.0,,232,306.0,46
186,,20170822,,1.0,2020.04.02,14,예능/뮤직,,1650.0,신서유기_시즌4_감독판,1.0,3.0,,225,448884.0,1072
187,"도경수,남지현,조성하,조한철,김선호,한소희,김재영,안석환,정해균,이준혁",20181030,,1.0,2020.04.02,14,드라마,,1650.0,백일의낭군님,2.0,18.0,,218,229711.0,1965
188,,20160116,,1.0,2020.04.02,14,드라마,,1650.0,응답하라1988,1.0,3.0,,215,648594.0,1152
189,,20200401,,1.0,2020.04.02,14,예능,,1650.0,나는 트로트 가수다,0.0,0.0,,213,250.0,37
190,"박민영,김재욱,안보현,박진주,정제원,김보라,홍서영,맹상훈,김미경,김선영",20190530,,1.0,2020.04.02,14,드라마,,1650.0,그녀의 사생활,1.0,1.0,,213,171365.0,807
191,,20131228,,1.0,2020.04.02,14,드라마,,1650.0,90년대에게,1.0,2.0,,210,468905.0,1017
192,,20200401,,1.0,2020.04.02,14,예능,,1650.0,나는 자연인이다,0.0,0.0,,209,260.0,38
