rank,program,broadcast,rate,category,date
9,시사쇼이것이정치다,TV CHOSUN,3.098,종편,20200409
10,신통방통,TV CHOSUN,3.070,종편,20200409
1,금토드라마(부부의세계),JTBC,16.118,종편,20200410
2,TV조선뉴스9,TV CHOSUN,6.313,종편,20200410
3,팬텀싱어3,JTBC,4.054,종편,20200410
4,현장르포특종세상,MBN,3.780,종편,20200410
5,MBN뉴스와이드,MBN,3.532,종편,20200410
6,뉴스TOP10,채널A,3.531,종편,20200410
7,탐사보도세븐,TV CHOSUN,3.484,종편,20200410
8,JTBC뉴스룸,JTBC,3.389,종편,20200410
9,MBN종합뉴스,MBN,3.348,종편,20200410
10,뉴스A,채널A,3.209,종편,20200410
1,금토드라마(부부의세계),JTBC,21.390,종편,20200411
2,아는형님,JTBC,7.753,종편,20200411
3,강적들,TV CHOSUN,5.022,종편,20200411
4,신청곡을불러드립니다사랑의콜센타1부<재>,TV CHOSUN,4.922,종편,20200411
5,금토드라마(부부의세계<재>),JTBC,4.817,종편,20200411
6,TV조선뉴스7,TV CHOSUN,4.067,종편,20200411
7,신청곡을불러드립니다사랑의콜센타2부<재>,TV CHOSUN,4.008,종편,20200411
8,금토드라마(부부의세계<재>),JTBC,3.172,종편,20200411
9,MBN뉴스와이드,MBN,2.677,종편,20200411
10,이규연의스포트라이트스페셜,JTBC,2.608,종편,20200411
1,뭉쳐야찬다전설들의조기축구,JTBC,10.288,종편,20200412
2,금토드라마(부부의세계<재>),JTBC,5.881,종편,20200412
3,TV조선뉴스7,TV CHOSUN,4.158,종편,20200412
4,신청곡을불러드립니다사랑의콜센타<재>,TV CHOSUN,4.035,종편,20200412
5,금토드라마(부부의세계<재>),JTBC,3.458,종편,20200412
6,속풀이쇼동치미<재>,MBN,3.437,종편,20200412
7,이제만나러갑니다,채널A,3.332,종편,20200412
8,모란봉클럽통일준비위원회,TV CHOSUN,3.319,종편,20200412
9,유랑마켓스타와직거래,JTBC,3.292,종편,20200412
10,MBN종합뉴스,MBN,3.138,종편,20200412
1,TV조선뉴스9,TV CHOSUN,4.730,종편,20200413
2,인생감정쇼얼마예요,TV CHOSUN,4.328,종편,20200413
3,JTBC뉴스룸,JTBC,3.705,종편,20200413
4,뉴스A,채널A,3.297,종편,20200413
5,MBN뉴스와이드,MBN,2.914,종편,20200413
6,판도라,MBN,2.883,종편,20200413
7,보도본부핫라인,TV CHOSUN,2.870,종편,20200413
8,월화드라마(날씨가좋으면찾아가겠어요),JTBC,2.686,종편,20200413
9,시사쇼이것이정치다,TV CHOSUN,2.669,종편,20200413
10,MBN종합뉴스,MBN,2.636,종편,20200413
1,세상어디에도없는아내의맛2부,TV CHOSUN,8.921,종편,20200414
2,세상어디에도없는아내의맛1부,TV CHOSUN,5.933,종편,20200414
3,TV조선뉴스9,TV CHOSUN,5.594,종편,20200414
4,JTBC뉴스룸,JTBC,3.351,종편,20200414
5,휴먼다큐(사노라면),MBN,3.296,종편,20200414
6,MBN뉴스와이드,MBN,3.193,종편,20200414
7,MBN종합뉴스,MBN,3.177,종편,20200414
8,뉴스A,채널A,3.150,종편,20200414
9,뉴스TOP10,채널A,3.076,종편,20200414
10,시사쇼이것이정치다,TV CHOSUN,3.057,종편,20200414
1,신청곡을불러드립니다사랑의콜센타<재>,TV CHOSUN,4.755,종편,20200415
2,결정2020국회의원선거개표방송2부,TV CHOSUN,3.731,종편,20200415
3,보도본부핫라인,TV CHOSUN,3.060,종편,20200415
4,결정2020국회의원선거개표방송1부,TV CHOSUN,2.973,종편,20200415
5,세상어디에도없는아내의맛<재>,TV CHOSUN,2.964,종편,20200415
6,JTBC뉴스룸,JTBC,2.240,종편,20200415
7,결정2020국회의원선거개표방송3부,TV CHOSUN,2.235,종편,20200415
8,MBN종합뉴스,MBN,1.935,종편,20200415
9,선택2020-2부,MBN,1.840,종편,20200415
10,선택2020-3부,MBN,1.833,종편,20200415
1,신청곡을불러드립니다사랑의콜센타2부,TV CHOSUN,19.252,종편,20200416
2,신청곡을불러드립니다사랑의콜센타1부,TV CHOSUN,16.278,종편,20200416
3,TV조선뉴스9,TV CHOSUN,4.389,종편,20200416
4,이규연의스포트라이트,JTBC,3.509,종편,20200416
5,JTBC뉴스룸,JTBC,3.350,종편,20200416
6,신통방통,TV CHOSUN,3.305,종편,20200416
7,뉴스TOP10,채널A,3.191,종편,20200416
8,MBN뉴스와이드,MBN,3.047,종편,20200416
9,MBN종합뉴스,MBN,2.927,종편,20200416
10,시사쇼이것이정치다,TV CHOSUN,2.660,종편,20200416
1,금토드라마(부부의세계),JTBC,21.406,종편,20200417
2,JTBC뉴스룸,JTBC,4.158,종편,20200417
3,팬텀싱어3,JTBC,4.133,종편,20200417
4,TV조선뉴스9,TV CHOSUN,3.767,종편,20200417
5,MBN뉴스와이드,MBN,3.044,종편,20200417
6,뉴스A,채널A,3.006,종편,20200417
7,뉴스파이터,MBN,2.910,종편,20200417
8,MBN종합뉴스,MBN,2.756,종편,20200417
9,뉴스TOP10,채널A,2.715,종편,20200417
10,식객허영만의백반기행,TV CHOSUN,2.635,종편,20200417
1,금토드라마(부부의세계),JTBC,22.276,종편,20200418
2,아는형님,JTBC,5.766,종편,20200418
3,강적들,TV CHOSUN,4.400,종편,20200418
4,신청곡을불러드립니다사랑의콜센타2부<재>,TV CHOSUN,4.216,종편,20200418
5,신청곡을불러드립니다사랑의콜센타1부<재>,TV CHOSUN,4.193,종편,20200418
6,TV조선뉴스7,TV CHOSUN,3.632,종편,20200418
7,금토드라마(부부의세계<재>),JTBC,3.471,종편,20200418
8,속풀이쇼동치미,MBN,2.773,종편,20200418
9,특집뉴스TOP10,채널A,2.682,종편,20200418
10,MBN뉴스특보,MBN,2.669,종편,20200418
1,뭉쳐야찬다전설들의조기축구,JTBC,10.061,종편,20200419
2,금토드라마(부부의세계<재>),JTBC,6.312,종편,20200419
3,유랑마켓스타와직거래,JTBC,5.138,종편,20200419
4,내일은미스터트롯완전정복,TV CHOSUN,4.679,종편,20200419
5,TV조선뉴스7,TV CHOSUN,4.573,종편,20200419
6,신청곡을불러드립니다사랑의콜센타<재>,TV CHOSUN,4.497,종편,20200419
7,JTBC뉴스룸,JTBC,3.896,종편,20200419
8,MBN종합뉴스,MBN,3.253,종편,20200419
9,금토드라마(부부의세계<재>),JTBC,3.197,종편,20200419
10,세상어디에도없는아내의맛베스트,TV CHOSUN,2.956,종편,20200419
1,JTBC뉴스룸,JTBC,4.261,종편,20200420
2,TV조선뉴스9,TV CHOSUN,3.919,종편,20200420
3,뉴스A,채널A,3.692,종편,20200420
4,MBN뉴스와이드,MBN,3.655,종편,20200420
5,인생감정쇼얼마예요,TV CHOSUN,3.321,종편,20200420
6,MBN종합뉴스,MBN,3.034,종편,20200420
7,시사쇼이것이정치다,TV CHOSUN,2.886,종편,20200420
8,신통방통,TV CHOSUN,2.824,종편,20200420
9,보도본부핫라인,TV CHOSUN,2.798,종편,20200420
10,뉴스TOP10,채널A,2.561,종편,20200420
1,세상어디에도없는아내의맛2부,TV CHOSUN,9.658,종편,20200421
2,세상어디에도없는아내의맛1부,TV CHOSUN,6.050,종편,20200421
3,TV조선뉴스9,TV CHOSUN,4.916,종편,20200421
4,뉴스A,채널A,4.555,종편,20200421
5,JTBC뉴스룸,JTBC,3.977,종편,20200421
6,보도본부핫라인,TV CHOSUN,3.871,종편,20200421
7,MBN뉴스와이드,MBN,3.596,종편,20200421
8,뉴스TOP10,채널A,3.467,종편,20200421
9,뉴스파이터,MBN,3.402,종편,20200421
10,MBN종합뉴스,MBN,3.057,종편,20200421
1,TV조선뉴스9,TV CHOSUN,4.983,종편,20200422
2,JTBC뉴스룸,JTBC,4.333,종편,20200422
3,뉴스TOP10,채널A,4.030,종편,20200422
4,신청곡을불러드립니다사랑의콜센타<재>,TV CHOSUN,3.987,종편,20200422
5,인생다큐(마이웨이),TV CHOSUN,3.977,종편,20200422
6,보도본부핫라인,TV CHOSUN,3.715,종편,20200422
7,질문있습니다차이나는클라스,JTBC,3.630,종편,20200422
8,MBN종합뉴스,MBN,3.571,종편,20200422
9,나는자연인이다,MBN,3.560,종편,20200422
10,뉴스A,채널A,3.501,종편,20200422
1,신청곡을불러드립니다사랑의콜센타2부,TV CHOSUN,20.087,종편,20200423
2,신청곡을불러드립니다사랑의콜센타1부,TV CHOSUN,16.100,종편,20200423
3,TV조선뉴스9,TV CHOSUN,5.245,종편,20200423
4,뉴스A,채널A,3.951,종편,20200423
5,나만믿고따라와도시어부2-2부,채널A,3.593,종편,20200423
6,보도본부핫라인,TV CHOSUN,3.578,종편,20200423
7,시사쇼이것이정치다,TV CHOSUN,3.510,종편,20200423
8,뉴스TOP10,채널A,3.483,종편,20200423
9,JTBC뉴스룸,JTBC,3.444,종편,20200423
10,MBN종합뉴스,MBN,3.255,종편,20200423
1,금토드라마(부부의세계),JTBC,23.175,종편,20200424
2,팬텀싱어3,JTBC,5.406,종편,20200424
3,TV조선뉴스9,TV CHOSUN,4.589,종편,20200424
4,현장르포특종세상,MBN,3.857,종편,20200424
5,뉴스TOP10,채널A,3.816,종편,20200424
6,보도본부핫라인,TV CHOSUN,3.384,종편,20200424
7,JTBC뉴스룸,JTBC,3.331,종편,20200424
8,뉴스A,채널A,3.211,종편,20200424
9,내일은미스터트롯완전정복<재>,TV CHOSUN,2.827,종편,20200424
10,MBN뉴스와이드,MBN,2.815,종편,20200424
1,금토드라마(부부의세계),JTBC,25.878,종편,20200425
2,아는형님,JTBC,4.919,종편,20200425
3,신청곡을불러드립니다사랑의콜센타2부<재>,TV CHOSUN,4.398,종편,20200425
4,내일은미스터트롯완전정복<재>,TV CHOSUN,4.219,종편,20200425
5,강적들,TV CHOSUN,4.077,종편,20200425
6,TV조선뉴스7,TV CHOSUN,3.942,종편,20200425
7,신청곡을불러드립니다사랑의콜센타1부<재>,TV CHOSUN,3.713,종편,20200425
8,금토드라마(부부의세계<재>),JTBC,3.698,종편,20200425
9,금토드라마(부부의세계<재>),JTBC,3.670,종편,20200425
10,JTBC뉴스룸,JTBC,3.052,종편,20200425
1,뭉쳐야찬다전설들의조기축구,JTBC,6.983,종편,20200426
2,금토드라마(부부의세계<재>),JTBC,5.147,종편,20200426
3,TV조선뉴스7,TV CHOSUN,4.335,종편,20200426
4,신청곡을불러드립니다사랑의콜센타<재>,TV CHOSUN,3.893,종편,20200426
5,인생다큐(마이웨이특별판),TV CHOSUN,3.576,종편,20200426
6,내일은미스터트롯완전정복,TV CHOSUN,3.567,종편,20200426
7,유랑마켓스타와직거래,JTBC,3.478,종편,20200426
8,JTBC뉴스룸,JTBC,3.287,종편,20200426
9,알토란,MBN,3.138,종편,20200426
10,세상어디에도없는아내의맛<재>,TV CHOSUN,3.046,종편,20200426
1,TV조선뉴스9,TV CHOSUN,4.297,종편,20200427
2,뉴스TOP10,채널A,3.767,종편,20200427
3,JTBC뉴스룸,JTBC,3.526,종편,20200427
4,77억의사랑,JTBC,3.498,종편,20200427
5,MBN뉴스와이드,MBN,2.995,종편,20200427
6,보도본부핫라인,TV CHOSUN,2.979,종편,20200427
7,판도라,MBN,2.959,종편,20200427
8,시사쇼이것이정치다,TV CHOSUN,2.919,종편,20200427
9,인생감정쇼얼마예요,TV CHOSUN,2.893,종편,20200427
10,뉴스A,채널A,2.887,종편,20200427
1,세상어디에도없는아내의맛2부,TV CHOSUN,9.873,종편,20200428
2,세상어디에도없는아내의맛1부,TV CHOSUN,6.593,종편,20200428
3,TV조선뉴스9,TV CHOSUN,4.685,종편,20200428
4,JTBC뉴스룸,JTBC,3.595,종편,20200428
5,휴먼다큐(사노라면),MBN,3.588,종편,20200428
6,MBN종합뉴스,MBN,3.401,종편,20200428
7,보도본부핫라인,TV CHOSUN,3.056,종편,20200428
8,뉴스A,채널A,2.972,종편,20200428
9,뉴스TOP10,채널A,2.838,종편,20200428
10,MBN뉴스와이드,MBN,2.661,종편,20200428
1,인생다큐(마이웨이),TV CHOSUN,6.367,종편,20200429
2,인생다큐(마이웨이),TV CHOSUN,5.883,종편,20200429
3,TV조선뉴스9,TV CHOSUN,4.640,종편,20200429
4,나는자연인이다,MBN,3.735,종편,20200429
5,뉴스TOP10,채널A,3.452,종편,20200429
6,MBN종합뉴스,MBN,3.295,종편,20200429
7,JTBC뉴스룸,JTBC,3.210,종편,20200429
8,보도본부핫라인,TV CHOSUN,3.148,종편,20200429
9,MBN뉴스와이드,MBN,2.888,종편,20200429
10,뉴스A,채널A,2.775,종편,20200429
1,신청곡을불러드립니다사랑의콜센타2부,TV CHOSUN,19.173,종편,20200430
2,신청곡을불러드립니다사랑의콜센타1부,TV CHOSUN,15.630,종편,20200430
3,TV조선뉴스9,TV CHOSUN,4.287,종편,20200430
4,뉴스TOP10,채널A,4.145,종편,20200430
5,뉴스A,채널A,3.422,종편,20200430
6,나만믿고따라와도시어부2-2부,채널A,3.352,종편,20200430
7,신청곡을불러드립니다사랑의콜센타특별판,TV CHOSUN,3.238,종편,20200430
8,인생다큐(마이웨이특별판),TV CHOSUN,3.156,종편,20200430
9,JTBC뉴스룸,JTBC,3.056,종편,20200430
10,세상어디에도없는아내의맛<재>,TV CHOSUN,2.981,종편,20200430
1,TVN시네마극한직업-2부<본>,tvN,3.753,케이블,20200401
2,수목드라마(메모리스트<본>),tvN,2.847,케이블,20200401
3,YTN뉴스특보,YTN,2.742,케이블,20200401
4,YTN뉴스특보,YTN,2.638,케이블,20200401
5,TVN시네마극한직업-1부<본>,tvN,2.321,케이블,20200401
6,뉴스특보코로나19COVID19,연합뉴스TV,2.225,케이블,20200401
7,수미네반찬,tvN,2.118,케이블,20200401
8,YTN뉴스특보,YTN,2.116,케이블,20200401
9,YTN뉴스특보,YTN,2.034,케이블,20200401
10,뉴스특보코로나19COVID19,연합뉴스TV,2.002,케이블,20200401
1,슬기로운의사생활<본>,tvN,10.932,케이블,20200402
2,슬기로운의사생활,tvN,3.017,케이블,20200402
3,어서와한국은처음이지,MBC every1,2.779,케이블,20200402
4,수목드라마(메모리스트<본>),tvN,2.772,케이블,20200402
5,YTN뉴스특보,YTN,2.683,케이블,20200402
6,뉴스특보코로나19COVID19,연합뉴스TV,2.509,케이블,20200402
7,YTN뉴스특보,YTN,2.466,케이블,20200402
8,뉴스특보코로나19COVID19,연합뉴스TV,2.392,케이블,20200402
9,YTN뉴스특보,YTN,2.101,케이블,20200402
10,뉴스특보코로나19COVID19,연합뉴스TV,1.971,케이블,20200402
1,TVNSHIFT팬데믹쇼크<본>,tvN,3.236,케이블,20200403
2,뉴스특보코로나19COVID19,연합뉴스TV,2.484,케이블,20200403
3,슬기로운의사생활,tvN,2.402,케이블,20200403
4,YTN뉴스특보,YTN,2.272,케이블,20200403
5,뉴스특보코로나19COVID19,연합뉴스TV,2.267,케이블,20200403
6,슬기로운의사생활,tvN,2.229,케이블,20200403
7,YTN뉴스특보,YTN,2.152,케이블,20200403
8,뉴스특보코로나19COVID19,연합뉴스TV,2.066,케이블,20200403
9,YTN뉴스특보,YTN,2.034,케이블,20200403
10,어벤져스3:인피니티워-2부<본>,OCN,1.981,케이블,20200403
1,YTN뉴스특보,YTN,3.263,케이블,20200404
2,루갈<본>,OCN,3.206,케이블,20200404
3,YTN뉴스특보,YTN,3.199,케이블,20200404
4,뉴스특보코로나19COVID19,연합뉴스TV,3.145,케이블,20200404
5,YTN뉴스특보,YTN,3.006,케이블,20200404
6,슬기로운의사생활,tvN,2.781,케이블,20200404
7,토일드라마(하이바이마마49일환생프로젝트보고서<본>),tvN,2.689,케이블,20200404
8,YTN뉴스특보,YTN,2.674,케이블,20200404
9,YTN뉴스특보,YTN,2.625,케이블,20200404
10,놀라운토요일예능신대륙발견방구석봄맞이스페셜<본>,tvN,2.611,케이블,20200404
1,루갈<본>,OCN,3.879,케이블,20200405
2,대탈출3<본>,tvN,3.543,케이블,20200405
3,코미디빅리그<본>,tvN,3.263,케이블,20200405
4,YTN뉴스특보,YTN,2.916,케이블,20200405
5,뉴스특보코로나19COVID19,연합뉴스TV,2.876,케이블,20200405
6,뉴스특보코로나19COVID19,연합뉴스TV,2.744,케이블,20200405
7,YTN뉴스특보,YTN,2.667,케이블,20200405
8,YTN뉴스특보,YTN,2.611,케이블,20200405
9,슬기로운의사생활,tvN,2.499,케이블,20200405
10,뉴스특보코로나19COVID19,연합뉴스TV,2.460,케이블,20200405
1,요즘책방책읽어드립니다<본>,tvN,2.802,케이블,20200406
2,뉴스특보코로나19COVID19,연합뉴스TV,2.699,케이블,20200406
3,YTN뉴스특보,YTN,2.147,케이블,20200406
4,YTN뉴스특보,YTN,2.111,케이블,20200406
5,뉴스특보코로나19COVID19,연합뉴스TV,1.990,케이블,20200406
6,YTN뉴스특보,YTN,1.945,케이블,20200406
7,YTN뉴스특보,YTN,1.847,케이블,20200406
8,YTN뉴스특보,YTN,1.828,케이블,20200406
9,뉴스특보코로나19COVID19,연합뉴스TV,1.795,케이블,20200406
10,YTN뉴스특보,YTN,1.658,케이블,20200406
1,뉴스특보코로나19COVID19,연합뉴스TV,2.941,케이블,20200407
2,비디오스타,MBC every1,2.434,케이블,20200407
3,YTN뉴스특보,YTN,2.266,케이블,20200407
4,YTN뉴스특보,YTN,2.256,케이블,20200407
4,수미네반찬<본>,tvN,2.256,케이블,20200407
6,YTN뉴스특보,YTN,2.014,케이블,20200407
7,뉴스특보코로나19COVID19,연합뉴스TV,1.866,케이블,20200407
8,뉴스특보코로나19COVID19,연합뉴스TV,1.789,케이블,20200407
9,YTN뉴스특보,YTN,1.753,케이블,20200407
10,YTN뉴스특보,YTN,1.713,케이블,20200407
1,YTN뉴스특보,YTN,2.611,케이블,20200408
2,YTN뉴스특보,YTN,2.424,케이블,20200408
3,수목드라마(메모리스트<본>),tvN,2.267,케이블,20200408
4,뉴스특보코로나19COVID19,연합뉴스TV,2.148,케이블,20200408
5,뉴스특보코로나19COVID19,연합뉴스TV,2.024,케이블,20200408
6,YTN뉴스특보,YTN,1.952,케이블,20200408
7,뉴스투나잇2부,연합뉴스TV,1.946,케이블,20200408
8,YTN뉴스특보,YTN,1.930,케이블,20200408
9,YTN뉴스특보,YTN,1.822,케이블,20200408
10,YTN뉴스특보,YTN,1.762,케이블,20200408
1,슬기로운의사생활<본>,tvN,12.655,케이블,20200409
2,수목드라마(메모리스트<본>),tvN,3.408,케이블,20200409
3,슬기로운의사생활,tvN,2.948,케이블,20200409
4,뉴스특보코로나19COVID19,연합뉴스TV,2.597,케이블,20200409
5,어서와한국은처음이지,MBC every1,2.532,케이블,20200409
6,뉴스특보코로나19COVID19,연합뉴스TV,2.494,케이블,20200409
7,뉴스특보코로나19COVID19,연합뉴스TV,2.014,케이블,20200409
8,뉴스특보코로나19COVID19,연합뉴스TV,2.010,케이블,20200409
9,뉴스특보코로나19COVID19,연합뉴스TV,1.973,케이블,20200409
10,뉴스특보코로나19COVID19,연합뉴스TV,1.880,케이블,20200409
1,슬기로운의사생활,tvN,2.552,케이블,20200410
2,슬기로운의사생활,tvN,2.454,케이블,20200410
3,TVNSHIFT팬데믹쇼크<본>,tvN,2.298,케이블,20200410
4,YTN뉴스특보,YTN,2.240,케이블,20200410
5,YTN뉴스특보,YTN,2.171,케이블,20200410
6,뉴스특보코로나19COVID19,연합뉴스TV,2.144,케이블,20200410
7,뉴스특보코로나19COVID19,연합뉴스TV,1.953,케이블,20200410
8,뉴스특보코로나19COVID19,연합뉴스TV,1.869,케이블,20200410
9,YTN뉴스특보,YTN,1.837,케이블,20200410
10,뉴스특보코로나19COVID19,연합뉴스TV,1.717,케이블,20200410
1,토일드라마(하이바이마마<본>),tvN,5.086,케이블,20200411
2,놀라운토요일예능신대륙발견<본>,tvN,3.635,케이블,20200411
3,뉴스특보코로나19COVID19,연합뉴스TV,3.063,케이블,20200411
4,뉴스특보코로나19COVID19,연합뉴스TV,2.503,케이블,20200411
5,뉴스특보코로나19COVID19,연합뉴스TV,2.468,케이블,20200411
6,YTN뉴스특보,YTN,2.355,케이블,20200411
7,뉴스특보코로나19COVID19,연합뉴스TV,2.322,케이블,20200411
8,YTN뉴스특보,YTN,2.257,케이블,20200411
9,슬기로운의사생활,tvN,2.239,케이블,20200411
10,YTN뉴스특보,YTN,2.223,케이블,20200411
1,토일드라마(하이바이마마<본>),tvN,4.460,케이블,20200412
2,루갈<본>,OCN,3.437,케이블,20200412
3,뉴스특보코로나19COVID19,연합뉴스TV,3.061,케이블,20200412
4,뉴스특보코로나19COVID19,연합뉴스TV,3.014,케이블,20200412
5,뉴스특보코로나19COVID19,연합뉴스TV,2.968,케이블,20200412
6,YTN뉴스특보,YTN,2.948,케이블,20200412
7,YTN뉴스특보,YTN,2.602,케이블,20200412
8,YTN뉴스특보,YTN,2.567,케이블,20200412
9,코미디빅리그<본>,tvN,2.512,케이블,20200412
10,뉴스특보코로나19COVID19,연합뉴스TV,2.506,케이블,20200412
1,요즘책방책읽어드립니다<본>,tvN,2.702,케이블,20200413
2,뉴스특보코로나19COVID19,연합뉴스TV,2.423,케이블,20200413
3,전무후무한특종랭킹프리한19<본>,tvN,2.353,케이블,20200413
4,뉴스투나잇2부,연합뉴스TV,1.994,케이블,20200413
5,YTN뉴스특보,YTN,1.956,케이블,20200413
6,YTN뉴스특보,YTN,1.951,케이블,20200413
7,뉴스특보코로나19COVID19,연합뉴스TV,1.936,케이블,20200413
8,뉴스투나잇1부,연합뉴스TV,1.892,케이블,20200413
9,YTN뉴스특보,YTN,1.867,케이블,20200413
10,YTN뉴스특보,YTN,1.791,케이블,20200413
1,수미네반찬<본>,tvN,3.004,케이블,20200414
2,뉴스특보코로나19COVID19,연합뉴스TV,2.745,케이블,20200414
3,뉴스특보코로나19COVID19,연합뉴스TV,2.411,케이블,20200414
4,YTN뉴스특보,YTN,1.952,케이블,20200414
5,뉴스특보코로나19COVID19,연합뉴스TV,1.927,케이블,20200414
6,뉴스투나잇1부,연합뉴스TV,1.898,케이블,20200414
7,YTN뉴스특보,YTN,1.832,케이블,20200414
8,뉴스투나잇2부,연합뉴스TV,1.806,케이블,20200414
9,YTN뉴스특보,YTN,1.753,케이블,20200414
10,YTN뉴스특보,YTN,1.676,케이블,20200414
1,민심2020국회의원총선거,YTN,2.648,케이블,20200415
2,수미네반찬,tvN,2.574,케이블,20200415
3,슬기로운의사생활,tvN,2.469,케이블,20200415
4,수목드라마(메모리스트<본>),tvN,2.393,케이블,20200415
